JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458199.64514	8.304	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64570	8.291	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64627	8.273	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64683	8.263	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64740	8.254	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64796	8.246	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64853	8.220	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64909	8.209	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64965	8.210	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65021	8.190	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65078	8.174	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65134	8.147	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65191	8.145	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65248	8.145	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65304	8.135	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65361	8.118	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65418	8.088	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65475	8.086	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65531	8.070	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65588	8.062	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65644	8.061	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.65701	8.028	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
